"experiment","lambda","beta_mean","beta_sd","acceptance_rate_beta","acceptance_rate_M","average_M_distance_to_true","clade_l1_distance_vs_beast","sampler_type","init_type","include_log_Z","include_log_Z_in_beta"
"joint_upgma_logZ_true",1,0.0269393845367201,0.0750590400302336,0.254725472547255,0.259125912591259,22.8254244210267,45.1252081991945,"joint","upgma",TRUE,FALSE
"joint_upgma_logZ_true_beta",1,0.0735540916859969,0.125227432775943,0.25022502250225,0.252125212521252,24.3104915622864,45.1366152984724,"joint","upgma",TRUE,TRUE
"joint_upgma_logZ_false",1,0.0546565226328139,0.200110564074279,0.0028002800280028,0.0017001700170017,12.1243556529821,43.513002919708,"joint","upgma",FALSE,NA
"joint_true_init_logZ_true",1,0.0175348970533232,0.0375754253965574,0.26032603260326,0.260526052605261,20.712315177208,44.9926091990837,"joint","true_init",TRUE,FALSE
"joint_true_init_logZ_true_beta",1,0.0548536721247538,0.117412245659786,0.244924492449245,0.247524752475248,19.8494332412792,45.1288098990291,"joint","true_init",TRUE,TRUE
"joint_true_init_logZ_false",1,0.030109365387777,0.0658103976624611,0.0067006700670067,0.0039003900390039,19.7484176581315,42.6686261773821,"joint","true_init",FALSE,NA
"mean_upgma_logZ_false",1,0.0326473715659815,0.0488153443557323,0.00761007610076101,1,18.6547581061776,44.1213097990206,"mean","upgma",FALSE,NA
"mean_true_init_logZ_false",1,0.04670334961039,0.0292173060524384,0.0023002300230023,1,12.4498995979887,43.8312055194479,"mean","true_init",FALSE,NA
"beast",NA,NA,NA,NA,NA,8.77496438739212,NA,"beast_reference","beast",NA,NA
