"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,5214.39635896683,100000,2.74922933333404,3.12816239013385,0.17323671710486
3,4,0.1,5214.39635896683,100000,2.51826577777774,2.57734356143997,0.094645208955735
2,1,0.1,5214.39635896683,100000,2.43579111111123,2.40199038192008,0.0957109287315506
1,1,0.05,5214.39635896683,100000,0.859432666657378,0.883091380357381,0.0806303889309515
0.9,1,0.03,5214.39635896683,100000,1.0718173333323,0.966947192233893,0.0611955054447225
0.7,1,0.03,5214.39635896683,100000,0.79793293333238,0.741009278527254,0.0568279804083238
0.5,1,0.01,5214.39635896683,100000,0.516016977777819,0.586029376920923,0.0354084233308778
0.3,1,0.01,5214.39635896683,100000,0.29838355556324,0.347878073634145,0.0322587216046393
0.1,1,0.01,5214.39635896683,100000,0.321465076666712,0.208343959176046,0.254824237769402
