"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,5736.68228983879,100000,6.93999999999998,6.77672499999999,0.0927063334637015
3,4,0.1,5736.68228983879,100000,4.257392,4.32567161528,0.0512893485558668
2,1,0.1,5736.68228983879,100000,3.33541600000001,3.23494708288001,0.0692895477913764
1,1,0.05,5736.68228983879,100000,1.33688400000028,1.31624532224021,0.0804336441120554
0.9,1,0.03,5736.68228983879,100000,0.809183199998741,0.859158229095054,0.0611343103727284
0.7,1,0.03,5736.68228983879,100000,0.81978520000314,0.678259272066349,0.0656534931013726
0.5,1,0.01,5736.68228983879,100000,0.422342400000306,0.430296724504243,0.0325620597894582
0.3,1,0.01,5736.68228983879,100000,0.360845600000868,0.357395876384649,0.0317221355528883
0.1,1,0.01,5736.68228983879,100000,0.130850010000021,0.16503213592802,0.135394400255206
