"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,33192.3149938583,100000,3.38988088421118,3.4965219320468,0.0695480243423081
3,4,0.1,33192.3149938583,100000,3.16897275789362,3.1592177537802,0.0367285388423775
2,1,0.1,33192.3149938583,100000,2.18272593685142,2.19118083903015,0.053140716168218
1,1,0.05,33192.3149938583,100000,1.10160265262967,1.09119690971353,0.0336558506678781
0.9,1,0.03,33192.3149938583,100000,1.10006513262576,1.10603420360035,0.0243707115584243
0.7,1,0.03,33192.3149938583,100000,0.733336189462916,0.726792349419869,0.02583019738289
0.5,1,0.01,33192.3149938583,100000,0.605860084204789,0.586178528345438,0.0150459588092752
0.3,1,0.01,33192.3149938583,100000,0.336284682106267,0.338099172340797,0.0144847175786067
0.1,1,0.01,33192.3149938583,100000,0.0944613053013229,0.116645793478633,0.0224064594543856
