"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,21360.5470459461,100000,1.76738050251105,1.64738566438505,0.164768785684806
3,4,0.1,21360.5470459461,100000,1.86011979899495,1.85706193267135,0.181547871318422
2,1,0.1,21360.5470459461,100000,1.89095758793937,1.87532102723595,0.135909224168361
1,1,0.05,21360.5470459461,100000,0.507832361818756,0.508096481671022,0.0808038028308668
0.9,1,0.03,21360.5470459461,100000,0.985098653266228,0.961775468499616,0.0613091699420403
0.7,1,0.03,21360.5470459461,100000,0.405500462313245,0.51013075755717,0.0669431786431568
0.5,1,0.01,21360.5470459461,100000,0.405662331661203,0.490502992053628,0.0381515792030344
0.3,1,0.01,21360.5470459461,100000,0.231286251246961,0.339062885435782,0.0324354400631338
0.1,1,0.01,21360.5470459461,100000,0.180106763768742,0.705443716327986,1.26645565863049
