"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,5330.37899804115,100000,3.44796084210554,3.48941875565494,0.125077381724785
3,4,0.1,5330.37899804115,100000,3.51259284210526,3.63808739947787,0.0940313059642565
2,1,0.1,5330.37899804115,100000,2.14779115789578,2.06950356815237,0.12422415075738
1,1,0.05,5330.37899804115,100000,1.10711989473787,1.10582302316923,0.0777014059402933
0.9,1,0.03,5330.37899804115,100000,1.04905378947513,1.03925355167691,0.0581010589088787
0.7,1,0.03,5330.37899804115,100000,0.795485831569305,0.757045226153371,0.0577817486794553
0.5,1,0.01,5330.37899804115,100000,0.547660715817488,0.525901010753148,0.0318996458230311
0.3,1,0.01,5330.37899804115,100000,0.366094589473055,0.332545291460147,0.0325770516340626
0.1,1,0.01,5330.37899804115,100000,0.149710957368172,0.154509940935121,0.114480106735085
