"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,5375.86175990105,100000,4.37999999999991,4.47032119999995,0.110497461619454
3,4,0.1,5375.86175990105,100000,3.05000000000002,2.96181740000002,0.146090499026862
2,1,0.1,5375.86175990105,100000,2.06000000000009,1.97528920000008,0.0899306294524929
1,1,0.05,5375.86175990105,100000,0.95500000000006,0.959007500000035,0.0701689811631092
0.9,1,0.03,5375.86175990105,100000,0.825999999999987,0.884354499999991,0.0523366534300375
0.7,1,0.03,5375.86175990105,100000,0.71800000000001,0.698825620000011,0.0544546467970054
0.5,1,0.01,5375.86175990105,100000,0.613000000000003,0.516291300000005,0.0315482581161264
0.3,1,0.01,5375.86175990105,100000,0.297999999999974,0.295883499999981,0.0323401182034765
0.1,1,0.01,5375.86175990105,100000,0.22700001,0.22048763,0.234542683390764
