"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,5591.13681316376,100000,4.91999999999996,4.87387759999997,0.0610490848256866
3,4,0.1,5591.13681316376,100000,3.06,2.8444916,0.110676765928406
2,1,0.1,5591.13681316376,100000,1.97000000000011,1.94471500000007,0.102211172175423
1,1,0.05,5591.13681316376,100000,0.994999999999992,0.995742399999989,0.0679833676497838
0.9,1,0.03,5591.13681316376,100000,0.961000000000014,0.904175080000002,0.0524878199815795
0.7,1,0.03,5591.13681316376,100000,0.688000000000025,0.714340899999977,0.0545459636676547
0.5,1,0.01,5591.13681316376,100000,0.468,0.506536419999999,0.0310185015197771
0.3,1,0.01,5591.13681316376,100000,0.318999999999993,0.300205379999994,0.0317063171129441
0.1,1,0.01,5591.13681316376,100000,0.0040000099999998,0.18255611,0.176758629110576
