"beta","beta_star0","step0","seconds","trials","beta_star_final","beta_star_mean_tail","beta_star_sd_tail"
5,6,0.1,33612.1825051308,100000,4.93000000000013,4.89239432000009,0.0342610937973232
3,4,0.1,33612.1825051308,100000,2.96800000000002,2.89393475999999,0.0455931709632882
2,1,0.1,33612.1825051308,100000,1.86599999999997,1.92642535999998,0.0470796248784094
1,1,0.05,33612.1825051308,100000,1.06300000000009,1.00822888000004,0.0320979933885156
0.9,1,0.03,33612.1825051308,100000,0.892600000000002,0.881871723999971,0.023783520445568
0.7,1,0.03,33612.1825051308,100000,0.677200000000021,0.693692476000018,0.0242208758802401
0.5,1,0.01,33612.1825051308,100000,0.497400000000004,0.500966244000005,0.0142970942177258
0.3,1,0.01,33612.1825051308,100000,0.315000000000003,0.305181636,0.0142106383251534
0.1,1,0.01,33612.1825051308,100000,0.200799999999963,0.112821527999974,0.0432582343287604
