#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:sequences" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:sequences" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:sequences" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sequences" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:sequences" name="distribution" x="@birthRate.t:sequences">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sequences" id="treeLikelihood.sequences" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequences">
#            <siteModel id="SiteModel.s:sequences" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequences" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequences" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequences" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequences" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sequences" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sequences" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-62078.981882297136	-62072.28117157712	-6.700710720021128	-62072.28117157712	1.4123887063432006	6.700710720021131	-6.700710720021128	1.0
1000	-34702.75780399087	-34653.15555624297	-49.602247747896904	-34653.15555624297	6.208795862051124	68.9989681591526	-49.602247747896904	0.40128452866045866
2000	-34701.4288962973	-34649.83891029943	-51.589985997866435	-34649.83891029943	5.224195566901971	75.54380669411725	-51.589985997866435	0.29401732533743274
3000	-34710.44055694251	-34651.556855166884	-58.88370177562335	-34651.556855166884	9.074525086728064	98.90964731266614	-58.88370177562335	0.1822378970461452
4000	-34718.15197451354	-34651.95888025966	-66.19309425387435	-34651.95888025966	18.118890038251006	128.98915610141614	-66.19309425387435	0.12249311783855175
5000	-34726.99153029405	-34654.30858215958	-72.68294813446654	-34654.30858215958	22.887261863559914	178.69223329417736	-72.68294813446654	0.1636299393984489
6000	-34732.85678406859	-34654.05126969472	-78.8055143738675	-34654.05126969472	32.60343379698339	215.94613555927685	-78.8055143738675	0.16401459125285314
7000	-34736.33856794157	-34657.19484657547	-79.1437213661078	-34657.19484657547	25.83484775708147	237.5976967146955	-79.1437213661078	0.11159098815892375
8000	-34741.40297371052	-34653.71780418698	-87.68516952354666	-34653.71780418698	42.222349038720324	339.00249305473227	-87.68516952354666	0.07855136704770521
9000	-34740.033472818024	-34656.79810284102	-83.23536997700123	-34656.79810284102	33.546392650129434	266.14987314783855	-83.23536997700123	0.1258030448743403
10000	-34743.17644896242	-34657.6083991007	-85.56804986171531	-34657.6083991007	36.42703687217997	289.51990717062114	-85.56804986171531	0.1193179958238013
11000	-34734.017358942736	-34659.047656518516	-74.96970242422108	-34659.047656518516	16.964116487643956	200.69562783648175	-74.96970242422108	0.11934743987258277
12000	-34736.76435831655	-34658.158708811054	-78.60564950549156	-34658.158708811054	23.28362837885672	224.29029747674878	-78.60564950549156	0.1403447983853029
13000	-34735.36070553055	-34655.57547095614	-79.78523457440868	-34655.57547095614	30.117027039339412	243.59160929122598	-79.78523457440868	0.08736497403130308
14000	-34739.478998988896	-34654.09922395298	-85.37977503591718	-34654.09922395298	38.4854928513754	300.5725239502479	-85.37977503591718	0.06189204560715287
15000	-34742.8789814758	-34658.77298152482	-84.10599995098144	-34658.77298152482	31.711071344701402	292.4854185030822	-84.10599995098144	0.08966903918979566
16000	-34737.644839112116	-34658.27653939192	-79.36829972019969	-34658.27653939192	27.837801670947584	237.4105529743063	-79.36829972019969	0.11980424039305773
17000	-34747.13740531902	-34656.93999855321	-90.19740676581412	-34656.93999855321	35.92259046036449	326.60509334192255	-90.19740676581412	0.12093008515108783
18000	-34717.20684039933	-34657.38154327981	-59.82529711952578	-34657.38154327981	7.683601882578763	101.06429348718163	-59.82529711952578	0.1671577035374777
19000	-34748.23455340431	-34658.13205942642	-90.1024939778919	-34658.13205942642	35.58394823596734	369.83762313190635	-90.1024939778919	0.078476285302314
20000	-34769.586998528386	-34656.86388824738	-112.72311028100252	-34656.86388824738	134.8446128691795	951.569421324017	-112.72311028100252	0.030121668740196963
21000	-34776.749389614924	-34657.35823738523	-119.39115222969357	-34657.35823738523	108.01758873153173	1100.4030591039689	-119.39115222969357	0.03598840005832395
22000	-34784.52058224701	-34657.20656163659	-127.31402061042246	-34657.20656163659	215.04696970157198	1777.092237617135	-127.31402061042246	0.013666730493512982
23000	-34780.56067989694	-34656.61743581703	-123.94324407990347	-34656.61743581703	180.96710931214417	1543.8254839026347	-123.94324407990347	0.015952873688415053
24000	-34770.56321134373	-34653.742335416886	-116.82087592684826	-34653.742335416886	172.1489447539046	1147.3596147485823	-116.82087592684826	0.020352412763404756
25000	-34749.94887439328	-34655.088745143184	-94.860129250094	-34655.088745143184	49.359796778613784	447.06701847085617	-94.860129250094	0.04198988496530618
26000	-34716.23302866723	-34651.986213377015	-64.24681529021574	-34651.986213377015	14.09754914212637	127.09589454960197	-64.24681529021574	0.21690383629694848
27000	-34734.20941173174	-34654.79271454725	-79.41669718448664	-34654.79271454725	23.67536297904239	234.4915719208761	-79.41669718448664	0.12934206150739527
28000	-34760.76111056143	-34654.90537601537	-105.85573454605657	-34654.90537601537	85.80022757582458	697.6206219987275	-105.85573454605657	0.04522090197453685
29000	-34740.55261760948	-34652.64992734989	-87.90269025958753	-34652.64992734989	28.798855425619884	318.22590795715377	-87.90269025958753	0.1092268088066369
30000	-34753.14638752807	-34656.90292908245	-96.24345844562399	-34656.90292908245	61.82381995042864	486.96710065628065	-96.24345844562399	0.04936616688440273
31000	-34770.45901878325	-34657.358992203015	-113.10002658023576	-34657.358992203015	101.27899882569675	980.9762771478205	-113.10002658023576	0.026048227721526006
32000	-34746.318155168956	-34656.25612654138	-90.06202862757094	-34656.25612654138	47.45377843281731	375.5300425471153	-90.06202862757094	0.06834265874762761
33000	-34739.981974887814	-34656.98329924768	-82.99867564013233	-34656.98329924768	23.081187237745247	267.1761547848736	-82.99867564013233	0.12075530927238812
34000	-34744.58398784841	-34654.657933391165	-89.92605445724273	-34654.657933391165	44.279588480063794	338.41788139798865	-89.92605445724273	0.04366483074147946
35000	-34757.14743261696	-34656.32113650445	-100.82629611251302	-34656.32113650445	70.00487641109035	584.9432194056621	-100.82629611251302	0.03616625721697977
36000	-34750.660761453044	-34657.421604630596	-93.23915682244814	-34657.421604630596	36.37156633563865	423.6498157209696	-93.23915682244814	0.06670792920270231
37000	-34724.21483457835	-34654.2488159261	-69.96601865225236	-34654.2488159261	16.621692056769795	161.6680361812891	-69.96601865225236	0.13071865883189798
38000	-34715.69662785167	-34651.56813183528	-64.12849601639384	-34651.56813183528	10.497798534808798	127.21631873064294	-64.12849601639384	0.1719166200144844
39000	-34743.410175392724	-34654.05790752934	-89.35226786338436	-34654.05790752934	36.36788125016523	360.1054824183615	-89.35226786338436	0.07872310785746878
40000	-34751.216497534326	-34652.06392469144	-99.15257284288359	-34652.06392469144	78.77981903602314	549.4171038392738	-99.15257284288359	0.042245819489553985
41000	-34737.1378931733	-34651.05661094904	-86.0812822242573	-34651.05661094904	34.90469575893354	307.7955578513652	-86.0812822242573	0.059039289641598
42000	-34737.15491178038	-34651.91826522099	-85.23664655938471	-34651.91826522099	32.99043295572109	274.19326326882333	-85.23664655938471	0.051881199569721176
43000	-34741.99944219842	-34654.63072288369	-87.36871931473522	-34654.63072288369	33.858949419209104	336.36373725979183	-87.36871931473522	0.07287225872672674
44000	-34784.22341475228	-34657.359060066585	-126.86435468569624	-34657.359060066585	201.03259919359834	1693.4004850169572	-126.86435468569624	0.010999367012367435
45000	-34777.53626707043	-34657.35902800024	-120.17723907018679	-34657.35902800024	143.9675655326958	1314.91013554675	-120.17723907018679	0.019915311703957637
46000	-34764.51610170072	-34657.67256572041	-106.84353598031193	-34657.67256572041	92.72474759231851	752.1312201675557	-106.84353598031193	0.028291888694107762
47000	-34754.93454491288	-34657.538382255225	-97.39616265765461	-34657.538382255225	42.94085008139085	510.8131500553869	-97.39616265765461	0.045997753368749186
48000	-34729.78709325703	-34654.60196621335	-75.18512704367875	-34654.60196621335	18.6267025060476	196.88980973783256	-75.18512704367875	0.09522520831472132
49000	-34725.41005359763	-34652.16736645377	-73.24268714386469	-34652.16736645377	21.71977017762548	180.4194350199197	-73.24268714386469	0.1711187124146679
50000	-34729.2395700235	-34651.907070476394	-77.33249954710297	-34651.907070476394	25.715772567461798	209.00330569058093	-77.33249954710297	0.15845585921748595
51000	-34763.262092895115	-34656.042125158514	-107.21996773660194	-34656.042125158514	80.1673175743129	673.5866676540671	-107.21996773660194	0.05728641461377594
52000	-34751.78834726569	-34653.03609621055	-98.75225105514156	-34653.03609621055	79.05833605038887	540.0128540302111	-98.75225105514156	0.046597531760582976
53000	-34783.182033320554	-34657.03426267631	-126.14777064424891	-34657.03426267631	231.94039964867738	1654.8810573918884	-126.14777064424891	0.011626361389051458
54000	-34770.474758820994	-34657.35843463937	-113.11632418162702	-34657.35843463937	116.2998356871311	980.49124837352	-113.11632418162702	0.026481924712987822
55000	-34786.501313756504	-34657.35908021604	-129.14223354046277	-34657.35908021604	238.81713254091056	1915.4926719660373	-129.14223354046277	0.011913318678105697
56000	-34791.230900791954	-34657.37916527578	-133.85173551617245	-34657.37916527578	285.44200707979564	2295.8206340597985	-133.85173551617245	0.012460670908733176
57000	-34774.08044553797	-34657.35696547556	-116.72348006240587	-34657.35696547556	122.43031021179338	1084.7270086609958	-116.72348006240587	0.015711284906185865
58000	-34769.44250649666	-34657.35281476585	-112.08969173081307	-34657.35281476585	82.58190261361138	931.0932628457481	-112.08969173081307	0.029996217341576224
