"experiment","lambda","beta_mean","beta_sd","acceptance_rate_beta","acceptance_rate_M","average_M_distance_to_true"
"upgma_max",1,0.0241092507427959,0.0185204800852302,0.355635563556356,0.38953895389539,20.8806130178211
"true_init",1,0.0256377531910465,0.0301821978947555,0.361436143614361,0.386338633863386,20.8326666559997
"mle_init",1,0.0256634845242566,0.0218532944428157,0.356735673567357,0.39023902390239,21.1660104885167
"upgma_temp_max",100,0.0278066840815527,0.0463915399379325,0.544954495449545,0.633463346334633,20.2731349327133
"upgma_temp1000_max",1000,0.0330666180469719,0.0732728080217046,0.546854685468547,0.633263326332633,21.4709105535839
"beast",NA,NA,NA,NA,NA,17.1464281994822
